15,15.00,1733509140
21,17.00,1733509140
37,18.00,1733509140
49,19.00,1733509140
112,20.00,1733509140
129,23.00,1733509140
132,24.00,1733509140
142,25.00,1733509140
15,14.94,1733509170
21,16.99,1733509170
37,17.83,1733509170
49,19.22,1733509170
112,20.07,1733509170
129,22.83,1733509170
132,23.90,1733509170
142,24.79,1733509170
15,14.76,1733509200
21,17.18,1733509200
37,17.70,1733509200
49,19.05,1733509200
112,19.93,1733509200
129,22.85,1733509200
132,24.06,1733509200
142,24.64,1733509200
15,14.91,1733509230
21,17.30,1733509230
37,17.58,1733509230
49,19.23,1733509230
112,19.92,1733509230
129,22.76,1733509230
132,23.97,1733509230
142,24.84,1733509230
15,14.69,1733509260
21,17.38,1733509260
37,17.76,1733509260
49,19.38,1733509260
112,20.01,1733509260
129,22.84,1733509260
132,24.21,1733509260
142,24.64,1733509260
15,14.53,1733509290
21,17.35,1733509290
37,17.93,1733509290
49,19.14,1733509290
112,20.04,1733509290
129,22.71,1733509290
132,24.13,1733509290
142,24.59,1733509290
15,14.28,1733509320
21,17.54,1733509320
37,18.16,1733509320
49,19.16,1733509320
112,19.80,1733509320
129,22.85,1733509320
132,23.98,1733509320
142,24.75,1733509320
15,14.08,1733509350
21,17.78,1733509350
37,18.29,1733509350
49,19.26,1733509350
112,19.84,1733509350
129,22.70,1733509350
132,23.75,1733509350
142,24.56,1733509350
15,14.32,1733509380
21,18.00,1733509380
37,18.30,1733509380
49,19.51,1733509380
112,19.91,1733509380
129,22.64,1733509380
132,23.71,1733509380
142,24.80,1733509380
15,14.55,1733509410
21,17.85,1733509410
37,18.34,1733509410
49,19.49,1733509410
112,19.70,1733509410
129,22.58,1733509410
132,23.91,1733509410
142,24.90,1733509410
15,14.51,1733509440
21,17.98,1733509440
37,18.48,1733509440
49,19.72,1733509440
112,19.58,1733509440
129,22.50,1733509440
132,24.01,1733509440
142,24.94,1733509440
15,14.55,1733509470
21,17.76,1733509470
37,18.69,1733509470
49,19.65,1733509470
112,19.34,1733509470
129,22.44,1733509470
132,24.01,1733509470
142,24.84,1733509470
15,14.72,1733509500
21,17.59,1733509500
37,18.56,1733509500
49,19.72,1733509500
112,19.25,1733509500
129,22.66,1733509500
132,23.84,1733509500
142,24.67,1733509500
15,14.68,1733509530
21,17.37,1733509530
37,18.75,1733509530
49,19.78,1733509530
112,19.39,1733509530
129,22.83,1733509530
132,23.70,1733509530
142,24.75,1733509530
15,14.46,1733509560
21,17.51,1733509560
37,18.75,1733509560
49,19.71,1733509560
112,19.20,1733509560
129,23.01,1733509560
132,23.56,1733509560
142,24.71,1733509560
15,14.34,1733509590
21,17.68,1733509590
37,18.84,1733509590
49,19.75,1733509590
112,19.34,1733509590
129,23.22,1733509590
132,23.50,1733509590
142,24.59,1733509590
15,14.34,1733509620
21,17.70,1733509620
37,19.00,1733509620
49,19.79,1733509620
112,19.50,1733509620
129,22.99,1733509620
132,23.63,1733509620
142,24.61,1733509620
15,14.19,1733509650
21,17.48,1733509650
37,19.01,1733509650
49,19.98,1733509650
112,19.31,1733509650
129,23.17,1733509650
132,23.52,1733509650
142,24.82,1733509650
15,14.30,1733509680
21,17.56,1733509680
37,19.13,1733509680
49,20.15,1733509680
112,19.41,1733509680
129,23.11,1733509680
132,23.68,1733509680
142,24.69,1733509680
15,14.10,1733509710
21,17.64,1733509710
37,18.98,1733509710
49,19.93,1733509710
112,19.34,1733509710
129,22.97,1733509710
132,23.93,1733509710
142,24.50,1733509710
15,14.02,1733509740
21,17.55,1733509740
37,19.01,1733509740
49,19.90,1733509740
112,19.11,1733509740
129,23.11,1733509740
132,23.88,1733509740
142,24.74,1733509740
15,14.25,1733509770
21,17.79,1733509770
37,18.88,1733509770
49,20.02,1733509770
112,19.16,1733509770
129,22.92,1733509770
132,23.74,1733509770
142,24.89,1733509770
15,14.30,1733509800
21,17.93,1733509800
37,18.73,1733509800
49,19.86,1733509800
112,19.36,1733509800
129,22.74,1733509800
132,23.58,1733509800
142,24.89,1733509800
15,14.40,1733509830
21,17.68,1733509830
37,18.71,1733509830
49,19.65,1733509830
112,19.25,1733509830
129,22.66,1733509830
132,23.69,1733509830
142,24.81,1733509830
15,14.64,1733509860
21,17.79,1733509860
37,18.90,1733509860
49,19.77,1733509860
112,19.24,1733509860
129,22.85,1733509860
132,23.76,1733509860
142,24.64,1733509860
15,14.84,1733509890
21,17.79,1733509890
37,18.67,1733509890
49,19.57,1733509890
112,19.42,1733509890
129,23.08,1733509890
132,23.88,1733509890
142,24.87,1733509890
15,14.85,1733509920
21,17.73,1733509920
37,18.66,1733509920
49,19.73,1733509920
112,19.58,1733509920
129,23.10,1733509920
132,23.75,1733509920
142,24.93,1733509920
15,14.92,1733509950
21,17.50,1733509950
37,18.90,1733509950
49,19.75,1733509950
112,19.63,1733509950
129,23.02,1733509950
132,23.74,1733509950
142,24.70,1733509950
